time,temperature,pressure,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
2.0503997802734375e-05,27.422844750341028,968.9347554149742,0.114737805,-6.65479269,6.999006104999999,-19.18181818181818,9.181818181818182,-47.14285714285714
0.08214211463928223,27.440504932310432,969.052163741093,0.114737805,-6.65479269,6.999006104999999,-19.363636363636363,9.545454545454547,-47.14285714285714
0.15817737579345703,27.449334995355457,968.9936040221339,0.114737805,-6.616546754999999,7.03725204,-19.363636363636363,9.272727272727273,-47.755102040816325
0.23432302474975586,27.44491996616125,969.081590137434,0.15298374,-6.57830082,6.999006104999999,-19.18181818181818,9.090909090909092,-47.55102040816326
0.3105955123901367,27.45816503977403,969.0423549099007,0.191229675,-6.57830082,6.999006104999999,-19.454545454545453,9.454545454545455,-47.55102040816326
0.3867778778076172,27.449334995355457,969.0034120666169,0.191229675,-6.57830082,6.999006104999999,-19.18181818181818,9.454545454545455,-47.85714285714286
0.4638516902923584,27.45816503977403,969.0034120666169,0.15298374,-6.540054885,7.075497975,-18.72727272727273,9.727272727272727,-47.6530612244898
0.5413949489593506,27.45816503977403,969.081590137434,0.07649187,-6.616546754999999,7.03725204,-19.18181818181818,9.636363636363637,-47.14285714285714
0.6177926063537598,27.45816503977403,969.0132200948932,0.191229675,-6.540054885,6.999006104999999,-19.18181818181818,9.454545454545455,-47.6530612244898
0.6940608024597168,27.462580054998398,969.0425010857635,0.191229675,-6.540054885,6.999006104999999,-19.18181818181818,9.636363636363637,-47.244897959183675
0.7980530261993408,27.45375001989305,969.0034120666169,0.15298374,-6.540054885,7.075497975,-18.90909090909091,9.818181818181818,-47.244897959183675
0.8744306564331055,27.45375001989305,968.9643230799925,0.114737805,-6.540054885,6.999006104999999,-19.090909090909093,9.545454545454547,-47.3469387755102
0.950653076171875,27.45816503977403,969.0621178641929,0.15298374,-6.540054885,6.999006104999999,-19.0,9.545454545454547,-47.6530612244898
1.0267536640167236,27.45816503977403,969.0230281069605,0.07649187,-6.540054885,7.03725204,-18.818181818181817,9.636363636363637,-47.44897959183674
1.1032991409301758,27.45816503977403,969.0132200948932,0.07649187,-6.540054885,7.03725204,-19.0,9.636363636363637,-47.755102040816325
1.1794896125793457,27.45816503977403,969.0913989037977,0.114737805,-6.616546754999999,6.999006104999999,-19.272727272727273,9.090909090909092,-47.44897959183674
1.2556211948394775,27.45816503977403,969.0523094830834,0.15298374,-6.65479269,7.03725204,-19.18181818181818,9.363636363636365,-48.36734693877551
1.3323376178741455,27.45816503977403,968.935041416079,0.114737805,-6.57830082,6.999006104999999,-19.090909090909093,9.090909090909092,-47.6530612244898
1.4084129333496094,27.449334995355457,969.0034120666169,0.114737805,-6.57830082,6.999006104999999,-19.272727272727273,9.454545454545455,-47.04081632653061
1.4850876331329346,27.45375001989305,969.0913989037977,0.114737805,-6.616546754999999,6.999006104999999,-19.272727272727273,9.454545454545455,-46.53061224489796
